X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
96.4406382850739,18.9427920899657,6026574513,node,15,,pharmacy,,,,,64034450,,,,95e27fd5de314465b78d20db283dad7e,,,,#openmaptaungoo,,,1,,2018/10/31 06:18:21,,,,ဖိုးမင်း,,Paing Phyo,,,,,,private
96.26721964208,16.8275480808666,5441952805,node,12,,clinic,,,,,56744444,,,,fa61294ab0144a309d5ff257a9df1563,,,,,,,1,,2018/02/28 06:16:08,,,,Hein Lin Clinic,,KOAUNG@DPS,,,,,clinic,
,,469062549,way,15,,hospital,,,Government,,61188144,,,,e7615345d3d84fd4ac0c93e37646e6fe,,,,,,,2,,2018/07/30 09:33:40,,,,Thongwa Hospital,,Kyaw Thet Htet Zaw,,,,,hospital,
97.4861098827831,16.5621412356666,6673449172,node,9,,clinic,,,,,73118927,,,,4cf3675df7b34662a3531d1484d1d158,,,,,,,2,,2019/08/07 15:54:07,,,,ေက်းလက္ေဆးေပးခန္း,,mueschel,,,,,,
96.0454569476093,21.9035081947982,4262584890,node,12,,pharmacy,,Mandalay-Sagaing Road,,,40259974,,,,089bd012266a4a78b400335a69395b48,,,,,,,1,,2016/06/24 13:06:07,,,,Parami pharmacy ,,Jack Tunlwinoo,,,,,,
96.132861422246,16.9337033758165,5446924811,node,15,,pharmacy,,,,,56808697,,,,885668bc29d746bf9c7c7de22ed0c2a3,,,,,,,2,,2018/03/02 06:12:36,,,,ရတနာမိုး Yadar Moe,,Chan Min Kyaw,yes,,,,pharmacy,
97.5117199497395,16.6073712424763,6673449169,node,9,,clinic,,,,,73118927,,,,2c59a0f694af40028c397167635612a2,,,,,,,2,,2019/08/07 15:54:07,,,,အလယ်ပိုင်း ဆေးပေးခန်း,,mueschel,,,,,,
96.119016446041,16.8523805586655,5443323449,node,18,,pharmacy,,သီရိမြိုင် ၁၀ လမ်း Thiri Myaing 10th Street,,,84994019,,,,42a6d78294a34f769d64ce17474d58a8,,,,,,,3,,2020/05/11 02:57:36,Building 167,,,လင်းလက်ဆေးမျိူးစုံဆိုင် Lin Latt Pharmacy,,Saw David,,,,,pharmacy,
97.7372180393594,22.9561696214116,6125947194,node,15,,clinic,,BUTA Street,Doctor Phyo Thiha Naing,,69310616,,,,73b57061830f41c586636fd652db9c82,,Mo-Su 08:30-12:00,,,,,2,,2019/04/17 13:52:16,,,,,,Sai Mawn Kham,,,,,,
97.7367478984104,22.9562769935913,6125947190,node,12,,hospital,,Buta Street,,,69310616,,,,3b72dacbcc69408fa5e7933302b789a5,,24/7,,,,,2,,2019/04/17 13:52:16,,,,,,Sai Mawn Kham,,,,,,
96.168295834093,16.9188934749183,5447128873,node,12,,clinic,,,,,56807881,,,,8a84db0a768344b19e30104f3aa7e35e,,,,,,,1,,2018/03/02 05:05:33,,,,ေစတနာျဖဴ ေဆးခန္း Say Thanar Phyu Clinic,,Pyae Pyae Kz,,,,,clinic,
96.0782301890177,16.9667947942695,5437827581,node,15,,hospital,,,,,56693208,,,,342ed94861804df3a639c3b1df5b5347,,,,,,,1,,2018/02/26 15:07:59,,,,ရွှေပြည်သာဆေးရုံ Shwe Pyi Thar Hospital,,Pyae Nyein Chan,yes,,,,hospital,
95.2194970842735,18.8171193658381,5173850840,node,12,,clinic,,HlaingGuard Street,,,53026758,,,,9f50d4f4c0344c4bbfbb4cca82748027,,Mo-Fr 06:00-18:00,,,,,1,,2017/10/17 23:08:58,,,,,,Min Thu Lin,,,,,,
99.5974906727096,21.3465492529242,4841517721,node,6,,clinic,,,,,48499108,,,,50a0a39c8f5a4c7eb36790d29a48e925,,,,,,,1,,2017/05/08 11:27:38,,,,,,han win latt,,,,,,
96.1974236181732,16.8424418846156,5445632615,node,9,,pharmacy,,,,,56789643,,,,d0caf8f2d495444f97b48b08e8095419,,,,,,,1,,2018/03/01 13:42:00,,,,Kaung Say Min ေကာင္းေစမင္း,,AungKhant,,,,,,
96.1224780882327,16.8117356205297,5447913145,node,12,,pharmacy,,,,,56816136,,,,6432b1fd828147d891a893046f3dcad9,,,,,,,1,,2018/03/02 11:02:40,,,,Min Thi Ha မင်းသီဟ,,Ye'MyintThu,,,,,pharmacy,
